,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Section,No plan,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Annee,Mois,Prix metre carre,Pays,Latitude,Longitude
122,2020-01-07,Vente,172900.0,8.0,RUE,846,RUE BERTRAND DE VOGUE,51100,REIMS,51,454,DK,238,1,2.0,Appartement,95.0,4.0,2020,1,1820.0,France,49.234829,4.0443457
123,2020-01-17,Vente,72500.0,7.0,RUE,8260,SCULPTEURS JACQUES,51100,REIMS,51,454,HW,278,1,2.0,Appartement,55.0,3.0,2020,1,1318.1818181818182,France,49.2452291,4.0096422
124,2020-01-23,Vente,195000.0,5.0,ALL,5075,JULES GUERIN NEUV,51100,REIMS,51,454,KK,494,0,1.0,Maison,83.0,4.0,2020,1,2349.397590361446,France,49.281671,4.0078903
125,2020-01-13,Vente,253050.0,63.0,RUE,4150,GOSSET,51100,REIMS,51,454,BC,15,0,1.0,Maison,133.0,4.0,2020,1,1902.6315789473683,France,49.26740909999999,4.0452054
126,2020-01-24,Vente,94000.0,46.0,RUE,4970,JEANNE D ARC,51100,REIMS,51,454,IM,19,1,2.0,Appartement,28.0,1.0,2020,1,3357.1428571428573,France,49.2556507,4.0245814
127,2020-01-08,Vente,238000.0,62.0,RUE,3838,GALILEE,51100,REIMS,51,454,KS,1,1,1.0,Maison,103.0,6.0,2020,1,2310.6796116504856,France,49.2260882,4.0072272
128,2020-01-30,Vente,246500.0,9.0,RUE,1818,CHARLES LAFITE,51100,REIMS,51,454,CN,87,0,1.0,Maison,149.0,6.0,2020,1,1654.3624161073826,France,49.2500749,4.0609118
129,2020-01-30,Vente,246500.0,27.0,RUE,9040,DE VESLE,51100,REIMS,51,454,IK,4,1,2.0,Appartement,46.0,3.0,2020,1,5358.695652173913,France,49.2538188,4.0300312
130,2020-01-14,Vente,430000.0,8.0,BD,5680,LUNDY,51100,REIMS,51,454,BH,309,2,2.0,Appartement,113.0,4.0,2020,1,3805.309734513274,France,49.2583787,4.0383387
131,2020-01-22,Vente,291500.0,285.0,AV,5300,DE LAON,51100,REIMS,51,454,AN,568,0,2.0,Appartement,20.0,1.0,2020,1,14575.0,France,49.2727161,4.0196663
132,2020-01-22,Vente,291500.0,285.0,AV,5300,DE LAON,51100,REIMS,51,454,AN,568,0,2.0,Appartement,30.0,2.0,2020,1,9716.666666666666,France,49.2727161,4.0196663
133,2020-01-22,Vente,291500.0,285.0,AV,5300,DE LAON,51100,REIMS,51,454,AN,568,0,2.0,Appartement,21.0,1.0,2020,1,13880.952380952382,France,49.2727161,4.0196663
